neg_bool,neut_bool,pos_bool,semeval_id,sentiment_num,sentiment_orig,source,text,tweet_id
0,0,1,T15111294,1,positive,Semeval-train,@KeylinkLtd 12 days of Christmas! On the 8th day it has to be @Callebaut_ENG new choc stars! http://t.co/bfdvr5t3uT http://t.co/5qwZ0vycbl,523095981517455360
1,0,0,T15111295,-1,negative,Semeval-train,My mama paying for that dumb ass hulu shxt she may as well get netflix.,523096567172300800
0,0,1,T15111300,1,positive,Semeval-train,"So far, everyone who's seen Kunle Afolayan's ""October 1"" has said the same thing: GO SEE IT!",519572874147803136
0,0,1,T15111306,1,positive,Semeval-train,"@SharedJoint2013 Aside going to the hockey viewing partying tonight, I'm going to my aunt &amp; uncle's early Halloween party tomorrow night. :)",523101968089493504
0,0,1,T15111308,1,positive,Semeval-train,We will cap our fall season with the Halloween game on Sunday at 1pm!,523100173439094784
0,1,0,T15111309,0,neutral,Semeval-train,"My Sun, Jonathan Major just called me from the Georgia Dome, the Miles College Band will be performing there... http://t.co/MvGoHBW6Kp",521355041794322432
0,0,1,T15111310,1,positive,Semeval-train,"FYI Friday!
Halloween is right around the corner! Keep your pets safe with these helpful tips from ASPCA.... http://t.co/Vucr8TGOIw",523100178317074432
0,0,1,T15111312,1,positive,Semeval-train,Wear your most verdacious attire with pride tomorrow - celebrate Go Green Day #gogreenday http://t.co/btmfolHWza @sizeofwales,522786809592709120
0,1,0,T15111315,0,neutral,Semeval-train,"@martinwhittle19 Arsenal v Leeds United, 30 January 1982. Vaessen scored the winning goal 1-0. http://t.co/PsHeSX7TkB http://t.co/pBw3MfgMpS",522690970132160512
1,0,0,T15111318,-1,negative,Semeval-train,Kobe Bryant smiling as he re-enters the game with the Lakers losing 91-63 in the 4th quarter. Probably insanity settling in.,522960120683429888
0,1,0,T15111320,0,neutral,Semeval-train,"#Baltimore #Job 2nd Shift Operations Leader - Baltimore PDC at Toyota (Baltimore, MD): Toyota (NYSE:TM), the w... http://t.co/lwWCdXJOpI",522967838378573824
0,1,0,T15111323,0,neutral,Semeval-train,"Here's the full game story, in which #ArkSt's Blake Anderson entered the Georgia Dome concerned about focus. ($) http://t.co/FrqCUMJCHe",521333609526222848
0,0,1,T15111325,1,positive,Semeval-train,"Sunday in Atlanta, Ga catch me at the Georgia Dome... I will be live and turnt in that bitch! Hahaha ready to #Riseup",520426882853249024
0,0,1,T15111331,1,positive,Semeval-train,"Kunle Afolayan did a good job with ""October 1st """,519946804851654656
0,1,0,T15111333,0,neutral,Semeval-train,Selena's greatest hits album is set to come out November 24th and it's called 'For You'.,523081783886503936
0,1,0,T15111334,0,neutral,Semeval-train,There have been ZERO cases of ebola in the whole of Nigeria for well over a month yet someone died of ebola last FRIDAY in Texas,523100519532085248
0,1,0,T15111337,0,neutral,Semeval-train,It's the FINAL day to get your #tickets for our Annual Gala on Sat.! Join us &amp; follow along online with #RethinkingHunger #nyc...,523101293788016640
0,0,1,T15111338,1,positive,Semeval-train,"Gala @canoebrewpub Sunday Oct 19 7-10,Great food, drink, music, people! tickets: http://t.co/rumVTWnBFH support the arts #yyjarts",522970761372643328
1,0,0,T15111348,-1,negative,Semeval-train,We're playing Hull tomorrow and Arsenal haven't put a picture of the FA Cup on the programme cover. Chance missed.,523081121849163776
0,1,0,T15111350,0,neutral,Semeval-train,It's almost time for the new FT50 to reveal itself. We launch the new car tomorrow at Toyota Racing New Zealand.... http://t.co/u54o4tRgAx,522670671445622784
0,1,0,T15111355,0,neutral,Semeval-train,Ebola nurse may have been sick before taking the plane,523101194966011904
0,1,0,T15111359,0,neutral,Semeval-train,"#Job #Baltimore 2nd Shift Operations Leader - Baltimore PDC at Toyota (Baltimore, MD): Toyota (NYSE:TM), the w... http://t.co/CsAfBs0wrJ",522967830644264960
0,0,1,T15111363,1,positive,Semeval-train,"@NStauskas11 Its been a good year for you ""@TV_Exposed: Every episode of Friends is coming to Netflix on January 1st http://t.co/4O5aXj38dm""",523096430551252992
0,0,1,T15111366,1,positive,Semeval-train,"@FootballRamble Brian McDermott say ""there's never a bad day when your in charge of Leeds United"" on soccer sat! #worstdayofmylife",522424817249955840
0,1,0,T15111380,0,neutral,Semeval-train,"On October 17, 1963 the #Beatles recorded audio for The Beatles' Christmas Record. http://t.co/zIOxJ3pti2",523100023689838592
0,0,1,T15111381,1,positive,Semeval-train,Thank god PL football is back tomorrow. Cannot wait for the Arsenal game even if we are playing with a fraud defence,523080822254239744
0,0,1,T15111385,1,positive,Semeval-train,"How to get over a breakup: Watch Gilmore Girls. After Lorelai's 2nd or 3rd breakup, you're good to go. #breakupcure #GilmoreGirlsOnNetflix",522941449063895040
0,0,1,T15111387,1,positive,Semeval-train,Girls Frosh Volleyball hosts Alton Freshman Invitational tonight and tomorrow at AHS.  Play begins at 4:30pm this afternoon.  Go Redbirds!!!,523098869291184128
0,1,0,T15111389,0,neutral,Semeval-train,"With Arsenal in the middle of a major injury crisis, who could they sign in January? http://t.co/slQfWaKsqB http://t.co/qDkHEtUwiL",523086911309504512
1,0,0,T15111391,-1,negative,Semeval-train,I just sat here and watch @stephenasmith  snap about Kobe Bryant  I'm too done @RealSkipBayless  should know better,522826616981184512
0,0,1,T15111394,1,positive,Semeval-train,Such a lovely table decoration for a special night!!! May you smell Christmas?? http://t.co/5JZYDHnu3E,523092541441581056
0,1,0,T15111397,0,neutral,Semeval-train,"picking up my rolldawg from LAX tonight, &amp; then taking my manager to LAX tomorrow..my car has TAXI on it !? LOL #truehomie #imtherealMVP",522893407409029120
0,1,0,T15111398,0,neutral,Semeval-train,"Selena' new album will be released on 24 November. Information goes, that his title will ""For you"". http://t.co/yrk5NsqCWP",523000812264386560
0,0,1,T15111402,1,positive,Semeval-train,by @phxspotter Southwest 737-8H4 getting ready to fire up its CFM56's. I'm so excited about going to LAX saturday... http://t.co/4px1lcwQpU,522900832426422272
0,0,1,T15111406,1,positive,Semeval-train,I think I'll do a Niall spam now but that will be the last one for tonight I'll continue with Liam and Zayn tomorrow #EMABiggestFans1D,522935640124841984
1,0,0,T15111409,-1,negative,Semeval-train,@KTHopkins  Shutup you fat inbred hypocritical slut. I hope you and everyone who works for the sun get Ebola. You fat pig.,523099670214897664
0,1,0,T15111412,0,neutral,Semeval-train,Join Toyota at iGEM this Sunday. On display is the Concept Car FT-Bh. Want to know more? Click here: http://t.co/ihbPC1fBkf,523061180102094848
0,1,0,T15111413,0,neutral,Semeval-train,Steve Bruce will overlook his returning internationals if they show signs of fatigue ahead of Hull City's clash with Arsenal on Saturday.,523082563942748160
0,1,0,T15111416,0,neutral,Semeval-train,Going in at five tomorrow morning just for an hour earlier finish. Things I do for Leeds United... and my liver.,522814062326190080
0,0,1,T15111423,1,positive,Semeval-train,I love how my tweet about the game tomorrow is now being retweeted/Favorited by a bunch of AHS students and even a SCHS student #EAGLENATION,522959383459028992
0,1,0,T15111430,0,neutral,Semeval-train,"Aaand @tigerdirect is 1st to break the seal on Christmas marketing this year. Should have guessed from the ppl who brought u ""cyber monday""",523097120606552064
1,0,0,T15111433,-1,negative,Semeval-train,Arsenal's season is a mess. They're losing the battle for their favourite 4th place position,523088418864386048
0,0,1,T15111436,1,positive,Semeval-train,"October 1, well directed, superbly short, excellent costuming, good acting, edge of the seat plot... A must see. big kudos to Kunle Afolayan",519643916086177792
0,0,1,T15111441,1,positive,Semeval-train,Special gala at work tomorrow. Gonna be a busy day... #timetosleep,522950388249804800
0,1,0,T15111445,0,neutral,Semeval-train,"going down to SG on 31st................Scape has a Halloween event on that day..

....halloween..",523099073310519296
1,0,0,T15111446,-1,negative,Semeval-train,@SPINSouthWest still havnt got my 6months netflix subscription from the 28th of august....,523076102202601472
0,0,1,T15111448,1,positive,Semeval-train,@9thWonderMusic Big brother 9th! U gonna check out that Bears vs. Falcons game down there in the Georgia Dome 2morrow in Atlanta? #DABEARS,521019255811088384
0,1,0,T15111453,0,neutral,Semeval-train,"Blood Moon: Blood Moons: Decoding the Imminent Heavenly Signs: ""The sun shall be turned into darkness, and the moon i http://t.co/LxOvQv3H8D",520988247351382016
0,0,1,T15111455,1,positive,Semeval-train,i am so excited for tomorrow's gala its gonna be awesome like everyone are going to be dressed super chic i feel like an adult,522946925591801856
1,0,0,T15111466,-1,negative,Semeval-train,"Down 27, why not bring Kobe Bryant and Carlos Boozer for the 4th quarter. Why not.",522959907574657024
0,0,1,T15111473,1,positive,Semeval-train,"In October 1, Kunle Afolayan delivered what's arguably the best film out of Nollywood yet.",519173232252182528
0,1,0,T15111482,0,neutral,Semeval-train,i think i'm going to spend the rest of my friday night watching netflix,523056723691446272
0,0,1,T15111483,1,positive,Semeval-train,At midnight on a Friday night I just realised Melissa McCarthy is the adorable friend on Gilmore Girls...mind blown.,522883719015964672
0,1,0,T15111486,0,neutral,Semeval-train,"References 3.   Just the Facts June 25, 1961 Ref 3 http://t.co/pN5f3yFD7Z  Los Angeles International Airport (LAX) 3. http://t.co/eF6K2tl6aK",522902188662591488
0,0,1,T15111489,1,positive,Semeval-train,"Come and watch the future Bees this Saturday as the Youth Team take on Leeds United at Jersey Road at 11am.

Then... http://t.co/tq981PjuNX",520218184842899456
0,1,0,T15111491,0,neutral,Semeval-train,The Coast Guard has ended its search for a third man who was on a boat that sank near the entrance to the Sakonnet River on Thursday night.,518220514138267648
0,0,1,T15111495,1,positive,Semeval-train,"Such a lovely table decoration for a special night!!! May you smell Christmas?? 
#London #HR #jobs #recruiter http://t.co/uETv4yt56u",523093148369969152
1,0,0,T15111498,-1,negative,Semeval-train,"Aside from the CL final of 05, the 07 game against Arsenal, 2nd leg was the most stressful game I can think of",523098227504324608
0,1,0,T15111500,0,neutral,Semeval-train,"@WestHam_Central looks like we may sell Borg to either Fenerbahce, Galatasaray, or Besiktas they are all interested knowing that if he",520491197312532480
1,0,0,T15111504,-1,negative,Semeval-train,"February 8th: Cleveland 147, Los Angeles Lakers 79. Kobe Bryant looked angry a LOT in this game and Byron Scott started weeping in the third",522960140652544000
0,0,1,T15111507,1,positive,Semeval-train,"@DTSB16 I could prattle on about 90s music all night long. Radio Head, Weezer, Green Day, Stone Temple Pilots, the Offspring, 3rd Eye Blind",522978506654121984
1,0,0,T15111509,-1,negative,Semeval-train,I may or may not have been watching Gilmore Girls for the past 3 hours. I may also have burnt all the water out of my pot of carrots. #ooops,522892172677611520
0,0,1,T15111514,1,positive,Semeval-train,Why am I only just watching @MissSaigonUK 25th anniversary Gala now? Can't wait to come back to the uk to watch it again in the new year!!!,522926909496516608
0,1,0,T15111524,0,neutral,Semeval-train,#ThrowbackThursday: our weekly dive into the Toyota archives: Every Thursday we take a look ... http://t.co/Rn3xSyCDEd #toyota #usedcars,522652384489508864
0,1,0,T15111531,0,neutral,Semeval-train,Leeds United take to the field against Valletta of Malta in Uefa Cup 1st Rnd 1st Leg 19/9/1979!!! http://t.co/Jcxjsf3KoW,519934521513623552
0,0,1,T15111532,1,positive,Semeval-train,"@itschappy Also he ""Won"" his 1st World Heavyweight Championship with some assistance from @TheDeliverer_32 in the Georgia Dome.",520790791824744448
1,0,0,T15111535,-1,negative,Semeval-train,"Why your hospital may be unable to stop spread the spread of Ebola, by Ray Kurzweil ttp://t.co/2LUAxlADpN",523100628055490560
0,1,0,T15111541,0,neutral,Semeval-train,Arsenal defensive crisis: Seven players that Arsene Wenger might turn to during the January transfer window http://t.co/XmEYoahq80,523087416098177024
0,0,1,T15111544,1,positive,Semeval-train,"Tomorrow is going to be an epic day of football for a few reasons... Firstly because of Galatasaray vs Fenerbahce!
http://t.co/mvThevU0G1",523057801774788608
0,1,0,T15111547,0,neutral,Semeval-train,"""Insomniac"" was the first Green Day album i heard... '95? i think. i was in 7th grade...",522965643482894336
0,0,1,T15111549,1,positive,Semeval-train,"I just finished watching the movie October 1st, a Kunkle Afolayan's movie

Fanstatic performances by veterans... http://t.co/l3X9TjSCsG",520281009439662080
0,0,1,T15111551,1,positive,Semeval-train,"We don't just celebrate Halloween on Friday the 31st, we celebrate it ALL WEEKEND! 4 nights of frightfully good... http://t.co/MRDbfUmUWf",523100522677403648
0,0,1,T15111556,1,positive,Semeval-train,"My obsession with American horror story is real , I may be in love with tate.",523070886489100288
0,0,1,T15111560,1,positive,Semeval-train,Happy Thursday! Northshore Toyota has tons of cars in stock with your name on them! Come on by! #CovingtonLA #cardealership #Toyotacars,522766737809219584
1,0,0,T15111562,-1,negative,Semeval-train,Why the retail industry may struggle to deliver this Christmas: Vehicle fleets under pressure: http://t.co/sf4Ul5pBE3 http://t.co/kh6cbImufE,523096160844926976
1,0,0,T15111565,-1,negative,Semeval-train,Tonight may be the night when I finally expose myself to the Gilmore Girls hysteria,522906297940082688
0,1,0,T15111567,0,neutral,Semeval-train,"American Horror Story's third season is out on Monday, so here's a photo of the Blu-ray. #WhyDidItHaveToBeSnakes http://t.co/Jg8nJNUl5b",523058472821485568
0,0,1,T15111578,1,positive,Semeval-train,"#MercedesBenz Ptbo will be completely transformed Nov 1, don't miss out on the Gala of the season! #PancreaticCancer #leaveyourwalletathome",522943066408493056
0,0,1,T15111582,1,positive,Semeval-train,"Kobe Bryant looked like his old self against the Jazz during a 119-86 loss on Thursday, making 10-of-23 from the field and 7-of-13 fr...",522986214844936192
1,0,0,T15111588,-1,negative,Semeval-train,If I wanted to see a Falcons game I'd go to the Georgia Dome. America's Team should be on television every Sunday.,521401898658955264
0,1,0,T15111590,0,neutral,Semeval-train,Today is Friday which means that I'm 8 hours away from spending the next two days watching Netflix in my PJs.,523089030704295936
0,0,1,T15111603,1,positive,Semeval-train,"HALLOWEEN TREATS &amp; PRIZES
from 27th October - 2nd November
Kids get free halloween nail art &amp; sweet with every... http://t.co/wAinc6jt62",523098767592284160
0,1,0,T15111605,0,neutral,Semeval-train,"Make plans now to join us in December for Christmas concerts in North Carolina, Maryland and Florida.  Share the... http://t.co/lW30pS9TjG",523098614571466752
0,1,0,T15111607,0,neutral,Semeval-train,Toyota townace-wed on the ex parte lever pertinent to toyota: cEhOd,522994114329972736
1,0,0,T15111608,-1,negative,Semeval-train,"Obama is a ditherer. (Or you can call him a deep thinker. Both correct.) But for the love of Ebola, DO SOMETHING. http://t.co/QGjbLVc2tg",523098856184381440
0,0,1,T15111613,1,positive,Semeval-train,Nollywood rising with October 1  Kunle Afolayan is the most important ambassador the Nigerian government does no... http://t.co/iwSK3GomA0,520426647707992064
0,0,1,T15111617,1,positive,Semeval-train,Looking forward to the Leeds United game tomorrow on Sky sports at 7:30,522801199721238528
0,1,0,T15111619,0,neutral,Semeval-train,"Emile Garuba joins Michaela and Jerrilyn in-studio on the #EntertainmentShow to review Kunle Afolayan's latest film, October 1.",520894701990604800
0,0,1,T15111623,1,positive,Semeval-train,Hnng Pokemon ORAS came out. I told Michael to get it for me for Christmas. I may save him the $30 and buy it sooner ;-;,523093230142124032
0,0,1,T15111630,1,positive,Semeval-train,Just watched the whole 2nd season of AHS in less than 24 hours. I'm not even ashamed.,522977591104663552
0,0,1,T15111632,1,positive,Semeval-train,Movie review: October 1 is a shining example of #Nollywood rising  Kunle Afolayan is the most important ambassad... http://t.co/UqYli9RF14,521542746910515200
0,1,0,T15111636,0,neutral,Semeval-train,"Liam and Woody on set of #ByWayofHelena at Florewood State Park in Greenwood, the october 14th. http://t.co/yaDbagP5mi",523014644525711360
0,0,1,T15111637,1,positive,Semeval-train,alright that was the last one for tonight I promise I'll do Zayn and Liam spams tomorrow. keep voting! #EMABiggestFans1D,522938990270644224
0,1,0,T15111640,0,neutral,Semeval-train,"I'm 20, it's Friday and the only thing I've got to look forward to today is going on Netflix and watching season 2 ep 9 of gossip girl #trap",523061071645798400
0,0,1,T15111644,1,positive,Semeval-train,Kobe Bryant ranked at number 40? #NBARank hope he  proves this ranking wrong. Lots of respect for him! One more reason to wait for Oct 28th.,522804978596184064
0,0,1,T15111650,1,positive,Semeval-train,I remember in 6th grade when I was in love with Green Day and my mama bought me like all their albums lol she was the real MVP,522769094450233344
0,0,1,T15111653,1,positive,Semeval-train,Sat behind @CoachWalters1 on the flight to LAX tonight. Go Buffs!,522998404876894208
0,0,1,T15111655,1,positive,Semeval-train,"Blood moon returns early Wednesday, and this time it's bigger http://t.co/lhReFD9ml1 @Koudaiin FYI",521058799751147520
0,1,0,T15111660,0,neutral,Semeval-train,"Selena's greatest hits album is set to come out November 24th and its called ""For You"". Then she's signed with Interscope Record (finally!)",523082238876217344
0,0,1,T15111662,1,positive,Semeval-train,"#boldindenver I may be biased,  but I think Toyota makes the best vehicles.  I have driven lots but for the money...  #toyotawins",522763245900562432
0,0,1,T15111665,1,positive,Semeval-train,"Am telin you""@Nerdy_Dopey: Kunle Afolayan is under-rated aswear down! October 1 is the movie to watch. #MadeOfBlack""",521638876729716736
0,0,1,T15111675,1,positive,Semeval-train,Kunle Afolayan at his very best with OCTOBER 1....just saw this best ever 9ja movie with @Amaka_Ege ....awesome awesome movie right there.,520234025760616448
0,1,0,T15111679,0,neutral,Semeval-train,"Gamlingay Green Day is tomorrow, 18 Oct, 10am at the EcoHub. Full programme at http://t.co/6IKFJ6y22M. See you there! http://t.co/0b4c3a1bMA",523061022161383424
0,1,0,T15111683,0,neutral,Semeval-train,"Get in the Halloween spirit and back Chill 3rd Edition: A Horror Roleplaying Game, via @Kickstarter https://t.co/SwEbyf9XR5",523097411619942400
0,1,0,T15111684,0,neutral,Semeval-train,Might just watch the 3rd season of American Horror Story tonight,522978884623421440
0,0,1,T15111686,1,positive,Semeval-train,"Fun Friday! Gobble Gobble .... (I know, it's not even Halloween yet!) http://t.co/9s61DQSAtv",523101550378766336
0,1,0,T15111688,0,neutral,Semeval-train,"Why don't we just tag on ""may have Ebola"" any time we refer to someone. ""The patriots, who all may have contracted Ebola, won last night""",523100697752252416
0,1,0,T15111689,0,neutral,Semeval-train,"Foto: youarebeingridiculous: Josh Hutcherson at LAX airport - October 16th, 2014 Okay the yokel behind him... http://t.co/kiFT9KbWSx",522972462313930752
0,0,1,T15111692,1,positive,Semeval-train,"Can't wait for tomorrow. #ProperFootball
Only problem is my usual pub is showing the Arsenal game instead.",523091608242495488
0,1,0,T15111697,0,neutral,Semeval-train,Go to the AHS football game tomorrow to buy Halloween fun run tickets,522987427682480128
1,0,0,T15111698,-1,negative,Semeval-train,Wesley Sneijder has been linked with a free transfer move to Chelsea as he may quit Galatasaray if he is not paid. #CFC,520624355320295424
0,0,1,T15111701,1,positive,Semeval-train,Happy Friday to those who work outside the home and the weekend means something to. Today is 9 Fridays till Christmas. 6 Fridays till Advent,523092785445232640
0,0,1,T15111706,1,positive,Semeval-train,"#DailyNBA Kobe Bryant looked like his old self against the Jazz during a 119-86 loss on Thursday, making 10-of-23 from the field and ...",522986211476905984
0,0,1,T15111712,1,positive,Semeval-train,@idinamenzel I Know it isn't even Halloween but I'm sitting her listening to Holiday Wishesfor the 2nd time. I Absolutely Love it.,523100848638148608
0,0,1,T15111714,1,positive,Semeval-train,I'm excited about @OURrescue Gala tomorrow night in LA. Please financially support @OURrescue -they actually go &amp; rescue children. #teamOUR,522926373195628544
0,0,1,T15111718,1,positive,Semeval-train,AState up 24-0 after the 1st. Doing work in the Georgia Dome!,521009974747480064
0,1,0,T15111731,0,neutral,Semeval-train,"@twelve_pins Coming down to Arsenal v Hull City tomorrow, do you welcome away fans?",523085432465420288
0,0,1,T15111733,1,positive,Semeval-train,Kunle Afolayan is under-rated aswear down! October 1 is the movie to watch. #MadeOfBlack,521638619711537152
0,0,1,T15111736,1,positive,Semeval-train,@GloriaEstefan Fab WE Missy! Enjoy the @LatinSongHall Gala tomorrow and @JonSecada 's tribute to you. We are all so proud of you! xoxo,523067244491075584
0,1,0,T15111741,0,neutral,Semeval-train,After the Blood Moon comes the Pumpkin Sun http://t.co/Mt621Rfyyn,521652805007081472
1,0,0,T15111742,-1,negative,Semeval-train,I think I may be the only person that thinks AHS is actually awful..,522954788670296064
0,1,0,T15111752,0,neutral,Semeval-train,@dandeamer @NickAmes82 At the minute Zvezda fans are too busy securing tickets for the basketball vs Galatasaray on Thurs and Derbi on Sat.,521967296630509568
0,0,1,T15111754,1,positive,Semeval-train,"Watch Arsenal smash Hull tomorrow with Sanchez hatrick and wilshere assist, and the Sanchez- Hazard comparisons will be back!",523095905369477120
1,0,0,T15111757,-1,negative,Semeval-train,jacob im scared af because I just finished the 1st episode of asylum from American horror story,522956150938300416
0,0,1,T15111760,1,positive,Semeval-train,"This is streaming on Netflix Saturday November 15th! We'll be watching, I hope we get selected for the swag to... http://t.co/TbYHog4kQa",523090837920829440
0,0,1,T15111773,1,positive,Semeval-train,"Hamp is calling for a Christmas Market after the success of the Rhode Lane Opening! Interested folks, join us 22nd at 5.30pm, sunnyside Up!",523097361375952896
0,0,1,T15111776,1,positive,Semeval-train,"""@espn: Landing at No. 40 on the #NBARank list: Kobe Bryant.

(http://t.co/dkOOOiuZnm) http://t.co/qvBxnLq068"" lmao he'll be number 1 by dec",522797113340481536
0,1,0,T15111781,0,neutral,Semeval-train,Late upload from the Bears game Sunday #beardown @ The Georgia Dome http://t.co/PYjE72VZjb,522437392049778688
0,1,0,T15111787,0,neutral,Semeval-train,After the Blood Moon comes the Pumpkin Sun http://t.co/rfuSWtfGxi,521283787762987008
0,0,1,T15111790,1,positive,Semeval-train,"Come and join us tomorrow, for an exciting Christmas card making demonstration with the fantastic Sue Burrows. 10am-4pm.",523093743931756544
